epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9640847444534302,9.999999747378752e-06,0.09015219658613205,0.9893898963928223,0.023460861295461655
1,0.9804700613021851,9.999999747378752e-06,0.05260101705789566,0.9933686852455139,0.020165594294667244
2,0.9834491610527039,9.999999747378752e-06,0.04330509901046753,0.9920424222946167,0.019863013178110123
3,0.9879179000854492,9.999999747378752e-06,0.03465842828154564,0.9920424222946167,0.019773971289396286
4,0.9892419576644897,9.999999747378752e-06,0.030118266120553017,0.9933686852455139,0.01984357461333275
5,0.9917246103286743,9.999999747378752e-06,0.023082105442881584,0.9920424222946167,0.016854848712682724
6,0.9923866391181946,9.999999747378752e-06,0.021049516275525093,0.9946949481964111,0.016118522733449936
7,0.9943727254867554,9.999999747378752e-06,0.01865718886256218,0.9933686852455139,0.017132893204689026
8,0.989407479763031,9.999999747378752e-06,0.026835590600967407,0.9946949481964111,0.017357099801301956
9,0.9925521612167358,9.999999747378752e-06,0.020843492820858955,0.9946949481964111,0.013292552903294563
